  n  |                  title                   | year | rt  | _ | rt_is_matched | t  |                                           gantt_days                                            
 286 | The Red Shoes                            | 1948 |  96 | O | t             |    |                           24-26
 287 | High Fidelity                            | 2000 |  91 | O | t             |    |                           24-26
 288 | Miami Blues                              | 1990 |  81 | o | t             |    |                           24- 27
 289 | Love Live! Sunshine!! Aqours 3rd Wonderf |      |     |   | f             |    |                            25
 290 | The Driver's Seat                        |      |     |   | t             |    |                            25
 291 | The Departed                             | 2006 |  90 | O | t             |    |                            2526
 292 | Butterfield 8                            | 1960 |  47 | * | t             |    |                            2526
 293 | Adaptation                               | 2002 |  91 | O | t             |    |                            25-    --33
 294 | Gangs of New York                        | 2002 |  74 | O | t             |    |                            25-     -33
 295 | Ash Wednesday                            | 2002 |  25 | * | t             |    |                            25    30
 296 | The Comedians                            | 1967 |  27 | * | t             |    |                            25      32
 297 | Boom!                                    | 1968 |   8 | * | t             |    |                             2627
 298 | The Only Game in Town                    |      |     |   | t             |    |                             26 28
 299 | Betty: They Say I'm Different            |      |     |   | t             |    |                              27
 300 | Les Carabiniers                          |      |  73 | o | t             |    |                              2728
 301 | Reflections in a Golden Eye              | 1967 |  60 | o | t             |    |                              2728
 302 | Never Steady, Never Still                | 2018 |  76 | o | t             |    |                              27---31
 303 | Izzy Gets the F*ck Across Town           | 2018 |  50 | * | t             |    |                              27----32
 304 | Beach House                              | 2018 |  25 | * | t             |    |                              27-----33
 305 | Distorted                                | 2018 |  14 | * | t             |    |                              27-----33
 306 | Buddies                                  | 1985 |     |   | t             |    |                              27-----33
 307 | Christian Audigier The VIF               |      |     |   | t             |    |                              27-----33
 308 | Lobster Cop                              | 2018 |     |   | t             |    |                              27-----33
 309 | My 2 Mommies                             | 2018 |     |   | t             |    |                              27-----33
 310 | The Year of Spectacular Men              |      |  75 | o | t             |    |                              27------------40
 311 | Westwood: Punk, Icon, Activist           | 2018 |  74 | o | t             |    |                              27-------------------47
 312 | Veere Di Wedding                         | 2018 |  71 | o | t             |  2 |                              27--------------------------54
 313 | Rodin                                    | 2017 |  21 | * | t             |    |                              27------------- ------------54
 314 | The Seagull                              | 2018 |  69 | o | t             |  4 |                              27------    -------------------------------------74
 315 | Quad Comedy Shorts Vol. 1                |      |     |   | f             |    |                              27---  33
 316 | Ganja & Hess                             | 1973 |  83 | o | t             |    |                              27-     --- -- ------ ---51
 317 | Secret Ceremony                          |      |  50 | * | t             |    |                              27 29
 318 | BANDSTAND: The Broadway Musical on Scree | 2018 |     |   | t             |  3 |                              27  30
 319 | Brazil                                   | 1985 |  98 | O | t             |    |                               28
 320 | Met Summer Encore: Il Trovatore          | 2018 |     |   | f             |  3 |                               28
 321 | Nausicaä of the Valley of the Wind       | 1984 |  87 | o | t             |    |                               2829
 322 | X, Y & Zee                               | 1972 |  33 | * | t             |    |                               2829
 323 | West Side Story                          | 1961 |  94 | O | t             |  3 |                               28  31
 324 | The Big Lebowski                         | 1998 |  82 | O | t             |    |                               28   --     --     -47
 325 | Indiana Jones and the Last Crusade       | 1989 |  88 | O | t             |    |                               28         -39
 326 | The Taming of the Shrew                  | 1967 |  85 | o | t             |    |                                29 31
 327 | Brand: A Second Coming                   | 2015 |  71 | o | t             |    |                                 30
 328 | NT LIVE: The Curious Incident of the Dog | 2018 |     |   | t             |  3 |                                 30-           43
 329 | Who's Afraid of Virginia Woolf?          | 1966 |  95 | O | t             |    |                                 30 32
 330 | The Sandpiper                            | 1965 |  10 | * | t             |    |                                 30 32
 331 | Lady Snowblood                           | 1973 | 100 | o | t             |    |                                  31
 332 | Cleopatra                                | 1934 |  89 | o | t             |    |                                  31
 333 | Vengeance of a Snow Girl                 | 1971 |     |   | f             |    |                                  31
 334 | The Wizard of Oz                         | 1939 |  99 | O | t             |    |                                  3132
 335 | Tangerine                                | 2015 |  97 | O | t             |    |                                  31 33
 336 | National Velvet                          | 1945 | 100 | o | t             |    |                                  31   35
 337 | The V.I.P.s                              | 1963 |     |   | t             |    |                                   32
 338 | BPM (Beats Per Minute)                   | 2017 |  98 | O | t             |    |                                   3233
 339 | Spaceballs                               | 1987 |  57 | * | t             |    |                                   32-    --40
 340 | El Topo                                  | 1970 |  78 | O | t             |    |                                   32-     -40
 341 | Giant                                    | 1956 |  95 | o | t             |    |                                    33
 342 | A Place in the Sun                       | 2013 |     |   | t             |    |                                    33 35
 343 | Suddenly, Last Summer                    | 1959 |  69 | o | t             |    |                                     34
